,target,id_cliente,orden_nro,ciudad,monto,segmento,microsegmento,fecha_orden,fecha_de_vencimiento,fecha_de_pago,order_closed_cohort,ord_due_cohort,payment_cohort,dif_pymt_date,dow_closed,cantidad_sesiones,tiempo_promedio_navegacion,days_ultima_navegacion
0,0,-254861,71455943905963,BOG,277133.55,restaurante,cafetería,2022-10-06,2022-10-13,2022-10-12,2022-10-01,2022-10-01,2022-10-01,-1.0,3,21,614.3333333333334,1.0
1,0,-254861,52135310417582,BOG,299324.79,restaurante,cafetería,2022-11-16,2022-11-23,2022-12-01,2022-11-01,2022-11-01,2022-12-01,8.0,2,23,642.1304347826087,1.0
2,0,-254861,54309973913593,BOG,292811.25,restaurante,cafetería,2022-12-03,2022-12-10,2022-12-13,2022-12-01,2022-12-01,2022-12-01,3.0,5,22,558.9090909090909,1.0
3,1,-254861,118482691333265,BOG,277073.57,restaurante,cafetería,2022-12-17,2022-12-24,2023-01-13,2022-12-01,2022-12-01,2023-01-01,20.0,5,29,469.0344827586207,0.0
4,0,-254861,25274666404925,BOG,297466.49,restaurante,cafetería,2023-01-18,2023-01-25,2023-01-27,2023-01-01,2023-01-01,2023-01-01,2.0,2,53,294.1132075471698,1.0
5,0,-254840,68589892536561,BOG,473500.0,restaurante,corrientazo,2023-09-09,2023-09-16,2023-09-18,2023-09-01,2023-09-01,2023-09-01,2.0,5,36,320.4166666666667,0.0
6,0,-254654,16636313686162,BOG,515391.0,restaurante,panadería/pastelería,2022-05-05,2022-05-12,2022-05-12,2022-05-01,2022-05-01,2022-05-01,0.0,3,0,0.0,60.0
7,0,-254654,215707526768626,BOG,525575.74,restaurante,panadería/pastelería,2022-05-16,2022-05-23,2022-05-22,2022-05-01,2022-05-01,2022-05-01,-1.0,0,0,0.0,60.0
8,1,-254654,196058204686952,BOG,659735.97,restaurante,panadería/pastelería,2022-05-31,2022-06-07,2022-07-06,2022-05-01,2022-06-01,2022-07-01,29.0,1,0,0.0,60.0
9,1,-254654,77548269925666,BOG,495346.54,restaurante,panadería/pastelería,2022-06-13,2022-06-20,2022-07-06,2022-06-01,2022-06-01,2022-07-01,16.0,0,0,0.0,60.0
10,0,-254654,166045954307100,BOG,493858.70000000007,restaurante,panadería/pastelería,2022-07-04,2022-07-11,2022-07-10,2022-07-01,2022-07-01,2022-07-01,-1.0,0,0,0.0,60.0
11,0,-254512,14581825676191,BOG,214155.89,restaurante,comida especializada,2022-11-11,2022-11-18,2022-11-17,2022-11-01,2022-11-01,2022-11-01,-1.0,4,5,544.0,1.0
12,0,-254512,49842584105184,BOG,267359.0,restaurante,comida especializada,2022-11-25,2022-12-02,2022-12-06,2022-11-01,2022-12-01,2022-12-01,4.0,4,7,662.2857142857143,8.0
13,0,-254512,27875511938773,BOG,297531.18,restaurante,comida especializada,2022-12-16,2022-12-23,2022-12-28,2022-12-01,2022-12-01,2022-12-01,5.0,4,14,488.9285714285714,1.0
14,0,-254512,30093012358637,BOG,291222.8,restaurante,comida especializada,2023-02-17,2023-02-24,2023-02-22,2023-02-01,2023-02-01,2023-02-01,-2.0,4,11,310.72727272727275,0.0
15,0,-254512,3278530579349,BOG,295415.0,restaurante,comida especializada,2023-02-24,2023-03-03,2023-03-02,2023-02-01,2023-03-01,2023-03-01,-1.0,4,15,248.8,0.0
16,1,-254490,37037056425269,BOG,297751.75,restaurante,corrientazo,2022-08-05,2022-08-12,2022-09-16,2022-08-01,2022-08-01,2022-09-01,35.0,4,86,639.6395348837209,0.0
17,1,-254490,41744513112618,BOG,299923.48,restaurante,corrientazo,2022-08-18,2022-08-25,2022-09-12,2022-08-01,2022-08-01,2022-09-01,18.0,3,105,839.5809523809523,0.0
18,1,-254490,35170257077744,BOG,298162.21,restaurante,corrientazo,2022-09-14,2022-09-21,2022-10-25,2022-09-01,2022-09-01,2022-10-01,34.0,2,86,1103.9302325581396,15.0
19,1,-254490,34639696398464,BOG,201208.84,restaurante,corrientazo,2022-09-17,2022-09-24,2022-10-25,2022-09-01,2022-09-01,2022-10-01,31.0,5,83,1105.0722891566263,18.0
20,1,-254490,245121894240700,BOG,404706.03,restaurante,corrientazo,2022-10-27,2022-11-03,2022-12-16,2022-10-01,2022-11-01,2022-12-01,43.0,3,7,399.1428571428572,17.0
21,0,-254404,57765654354141,BAQ,280156.9,hogar,na,2022-09-07,2022-09-14,2022-09-15,2022-09-01,2022-09-01,2022-09-01,1.0,2,33,167.54545454545453,1.0
22,0,-254404,24876316593620,BAQ,293072.1,hogar,na,2022-09-16,2022-09-23,1899-12-30,2022-09-01,2022-09-01,1899-12-01,-44827.0,4,33,176.12121212121212,0.0
23,0,-254355,69809792435098,BOG,162851.26,restaurante,parrilla/asadero,2022-10-15,2022-10-22,2022-10-25,2022-10-01,2022-10-01,2022-10-01,3.0,5,76,485.5263157894737,1.0
24,0,-254355,77038273615878,BOG,258438.53,restaurante,parrilla/asadero,2022-10-31,2022-11-07,2022-11-10,2022-10-01,2022-11-01,2022-11-01,3.0,0,58,545.5,0.0
25,1,-254355,59299386918055,BOG,202113.77,restaurante,parrilla/asadero,2022-11-16,2022-11-23,2022-12-09,2022-11-01,2022-11-01,2022-12-01,16.0,2,38,589.921052631579,16.0
26,0,-254024,271575155530484,BOG,294519.74,restaurante,corrientazo,2022-08-15,2022-08-22,1899-12-30,2022-08-01,2022-08-01,1899-12-01,-44795.0,0,29,642.8275862068965,1.0
27,1,-253971,119059059369962,BOG,135014.14,duplicated,comida especializada,2022-11-18,2022-11-25,2025-12-31,2022-11-01,2022-11-01,2025-12-01,1132.0,4,23,152.34782608695653,1.0
28,0,-253961,50631795224526,BOG,260882.52,restaurante,cafetería,2022-09-20,2022-09-27,2022-09-26,2022-09-01,2022-09-01,2022-09-01,-1.0,1,0,0.0,60.0
29,0,-253961,24555906351971,BOG,294925.36,restaurante,cafetería,2022-09-28,2022-10-05,2022-10-05,2022-09-01,2022-10-01,2022-10-01,0.0,2,0,0.0,60.0
